step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 952 2048 90 60
5000 949 2051 90 60
10000 950 2050 90 60
15000 946 2054 90 60
20000 948 2052 89 61
25000 947 2053 89 61
30000 955 2045 90 60
35000 952 2048 90 60
40000 950 2050 89 61
45000 954 2046 89 61
50000 959 2041 90 60
55000 953 2047 89 61
60000 955 2045 91 59
65000 952 2048 90 60
70000 956 2044 89 61
75000 958 2042 90 60
80000 954 2046 90 60
85000 957 2043 91 59
90000 959 2041 91 59
95000 950 2050 90 60
100000 951 2049 90 60
105000 949 2051 89 61
110000 956 2044 90 60
115000 951 2049 91 59
120000 954 2046 91 59
125000 959 2041 91 59
130000 959 2041 92 58
135000 970 2030 91 59
140000 969 2031 91 59
145000 963 2037 90 60
150000 960 2040 90 60
155000 963 2037 91 59
160000 962 2038 90 60
165000 960 2040 90 60
170000 967 2033 90 60
175000 965 2035 90 60
180000 965 2035 90 60
185000 969 2031 91 59
190000 965 2035 91 59
195000 962 2038 91 59
200000 968 2032 91 59
205000 967 2033 91 59
210000 965 2035 91 59
215000 965 2035 91 59
220000 963 2037 89 61
225000 964 2036 91 59
230000 957 2043 92 58
235000 953 2047 91 59
240000 956 2044 91 59
245000 953 2047 91 59
250000 954 2046 91 59
255000 958 2042 91 59
260000 958 2042 91 59
265000 956 2044 90 60
270000 956 2044 91 59
275000 953 2047 90 60
280000 961 2039 90 60
285000 966 2034 91 59
290000 965 2035 91 59
295000 968 2032 90 60
300000 966 2034 90 60
305000 969 2031 91 59
310000 973 2027 91 59
315000 965 2035 91 59
320000 970 2030 90 60
325000 968 2032 91 59
330000 963 2037 91 59
335000 965 2035 91 59
340000 970 2030 90 60
345000 961 2039 91 59
350000 965 2035 91 59
355000 967 2033 90 60
360000 965 2035 91 59
365000 965 2035 91 59
370000 966 2034 91 59
375000 967 2033 90 60
380000 969 2031 91 59
385000 968 2032 91 59
390000 965 2035 91 59
395000 966 2034 91 59
400000 971 2029 90 60
405000 965 2035 90 60
410000 966 2034 91 59
415000 960 2040 90 60
420000 959 2041 90 60
425000 966 2034 90 60
430000 966 2034 89 61
435000 956 2044 90 60
440000 966 2034 91 59
445000 962 2038 91 59
450000 969 2031 90 60
455000 964 2036 91 59
460000 960 2040 91 59
465000 963 2037 91 59
470000 955 2045 90 60
475000 961 2039 91 59
480000 963 2037 89 61
485000 959 2041 90 60
490000 967 2033 89 61
495000 961 2039 90 60
500000 963 2037 90 60
505000 960 2040 89 61
510000 969 2031 91 59
515000 965 2035 91 59
520000 962 2038 90 60
525000 969 2031 91 59
530000 968 2032 89 61
535000 963 2037 90 60
540000 963 2037 90 60
545000 967 2033 91 59
550000 962 2038 91 59
555000 971 2029 91 59
560000 963 2037 90 60
565000 962 2038 90 60
570000 970 2030 90 60
575000 962 2038 90 60
580000 969 2031 91 59
585000 972 2028 92 58
590000 969 2031 91 59
595000 961 2039 89 61
600000 962 2038 91 59
605000 961 2039 90 60
610000 964 2036 91 59
615000 971 2029 91 59
620000 969 2031 91 59
625000 969 2031 92 58
630000 968 2032 91 59
635000 971 2029 92 58
640000 968 2032 91 59
645000 966 2034 92 58
650000 958 2042 90 60
655000 968 2032 91 59
660000 963 2037 91 59
665000 963 2037 91 59
670000 968 2032 91 59
675000 973 2027 91 59
680000 974 2026 92 58
685000 968 2032 90 60
690000 972 2028 91 59
695000 968 2032 91 59
700000 966 2034 91 59
705000 969 2031 91 59
710000 974 2026 92 58
715000 969 2031 90 60
720000 975 2025 92 58
725000 971 2029 92 58
730000 976 2024 91 59
735000 975 2025 92 58
740000 973 2027 91 59
745000 975 2025 91 59
750000 970 2030 91 59
755000 968 2032 92 58
760000 974 2026 91 59
765000 967 2033 91 59
770000 978 2022 91 59
775000 972 2028 91 59
780000 971 2029 91 59
785000 978 2022 90 60
790000 978 2022 91 59
795000 970 2030 91 59
800000 971 2029 90 60
805000 984 2016 91 59
810000 980 2020 90 60
815000 977 2023 91 59
820000 983 2017 91 59
825000 982 2018 92 58
830000 979 2021 90 60
835000 972 2028 91 59
840000 976 2024 91 59
845000 980 2020 91 59
850000 976 2024 92 58
855000 978 2022 91 59
860000 977 2023 92 58
865000 978 2022 91 59
870000 972 2028 90 60
875000 978 2022 91 59
880000 980 2020 91 59
885000 981 2019 91 59
890000 977 2023 91 59
895000 980 2020 92 58
900000 984 2016 92 58
905000 979 2021 92 58
910000 979 2021 92 58
915000 974 2026 91 59
920000 973 2027 92 58
925000 977 2023 92 58
930000 980 2020 92 58
935000 983 2017 91 59
940000 984 2016 92 58
945000 976 2024 92 58
950000 978 2022 92 58
955000 983 2017 92 58
960000 971 2029 91 59
965000 975 2025 92 58
970000 985 2015 92 58
975000 986 2014 92 58
980000 984 2016 92 58
985000 985 2015 91 59
990000 977 2023 91 59
995000 978 2022 92 58
1000000 975 2025 91 59
1005000 982 2018 91 59
1010000 984 2016 91 59
1015000 974 2026 91 59
1020000 981 2019 91 59
1025000 981 2019 92 58
1030000 983 2017 91 59
1035000 987 2013 91 59
1040000 982 2018 92 58
1045000 979 2021 91 59
1050000 976 2024 91 59
1055000 972 2028 91 59
1060000 978 2022 91 59
1065000 980 2020 92 58
1070000 983 2017 92 58
1075000 988 2012 93 57
1080000 986 2014 92 58
1085000 985 2015 92 58
1090000 988 2012 92 58
1095000 989 2011 92 58
1100000 984 2016 92 58
1105000 983 2017 92 58
1110000 981 2019 92 58
1115000 985 2015 92 58
1120000 991 2009 93 57
1125000 986 2014 92 58
1130000 982 2018 92 58
1135000 984 2016 92 58
1140000 993 2007 92 58
1145000 984 2016 92 58
1150000 988 2012 92 58
1155000 986 2014 92 58
1160000 995 2005 92 58
1165000 990 2010 92 58
1170000 995 2005 92 58
1175000 997 2003 92 58
1180000 991 2009 92 58
1185000 996 2004 92 58
1190000 991 2009 92 58
1195000 987 2013 92 58
1200000 989 2011 92 58
1205000 982 2018 92 58
1210000 980 2020 92 58
1215000 988 2012 92 58
1220000 984 2016 92 58
1225000 991 2009 92 58
1230000 1001 1999 92 58
1235000 996 2004 92 58
1240000 990 2010 92 58
1245000 998 2002 92 58
1250000 996 2004 92 58
1255000 1000 2000 92 58
1260000 998 2002 92 58
1265000 992 2008 92 58
1270000 995 2005 92 58
1275000 997 2003 92 58
1280000 1003 1997 92 58
1285000 997 2003 92 58
1290000 1010 1990 91 59
1295000 1002 1998 92 58
