step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1583 1417 15 10
5000 1626 1374 15 10
10000 1660 1340 15 10
15000 1659 1341 16 9
20000 1677 1323 16 9
25000 1675 1325 16 9
30000 1693 1307 16 9
35000 1702 1298 16 9
40000 1713 1287 16 9
45000 1730 1270 16 9
50000 1734 1266 16 9
55000 1738 1262 16 9
60000 1726 1274 16 9
65000 1729 1271 16 9
70000 1738 1262 16 9
75000 1748 1252 16 9
80000 1758 1242 17 8
85000 1755 1245 17 8
90000 1747 1253 17 8
95000 1760 1240 17 8
100000 1771 1229 17 8
105000 1770 1230 17 8
110000 1770 1230 17 8
115000 1766 1234 17 8
120000 1761 1239 17 8
125000 1780 1220 17 8
130000 1770 1230 17 8
135000 1777 1223 17 8
140000 1794 1206 17 8
145000 1784 1216 17 8
150000 1782 1218 17 8
155000 1784 1216 17 8
160000 1788 1212 17 8
165000 1790 1210 17 8
170000 1815 1185 17 8
175000 1799 1201 17 8
180000 1813 1187 17 8
185000 1798 1202 17 8
190000 1805 1195 17 8
195000 1811 1189 17 8
200000 1807 1193 17 8
205000 1815 1185 17 8
210000 1809 1191 17 8
215000 1806 1194 17 8
220000 1821 1179 17 8
225000 1822 1178 17 8
230000 1816 1184 17 8
235000 1824 1176 17 8
240000 1825 1175 17 8
245000 1832 1168 17 8
250000 1821 1179 17 8
255000 1821 1179 17 8
260000 1811 1189 17 8
265000 1819 1181 17 8
270000 1818 1182 17 8
275000 1811 1189 17 8
280000 1814 1186 17 8
285000 1818 1182 17 8
290000 1828 1172 17 8
295000 1832 1168 17 8
300000 1829 1171 17 8
305000 1818 1182 17 8
310000 1830 1170 17 8
315000 1840 1160 17 8
320000 1831 1169 18 7
325000 1820 1180 18 7
330000 1838 1162 18 7
335000 1831 1169 18 7
340000 1820 1180 17 8
345000 1825 1175 17 8
350000 1828 1172 17 8
355000 1834 1166 17 8
360000 1836 1164 17 8
365000 1849 1151 17 8
370000 1843 1157 18 7
375000 1848 1152 17 8
380000 1847 1153 18 7
385000 1837 1163 17 8
390000 1836 1164 17 8
395000 1845 1155 17 8
400000 1844 1156 18 7
405000 1848 1152 18 7
410000 1847 1153 18 7
415000 1853 1147 18 7
420000 1854 1146 18 7
425000 1860 1140 18 7
430000 1865 1135 18 7
435000 1871 1129 18 7
440000 1860 1140 18 7
445000 1875 1125 18 7
450000 1871 1129 19 6
455000 1863 1137 19 6
460000 1870 1130 19 6
465000 1870 1130 19 6
470000 1866 1134 19 6
475000 1861 1139 19 6
480000 1877 1123 19 6
485000 1875 1125 19 6
490000 1868 1132 19 6
495000 1871 1129 19 6
500000 1879 1121 19 6
505000 1876 1124 19 6
510000 1885 1115 19 6
515000 1889 1111 19 6
520000 1890 1110 19 6
525000 1873 1127 19 6
530000 1882 1118 19 6
535000 1886 1114 19 6
540000 1885 1115 19 6
545000 1870 1130 19 6
550000 1869 1131 19 6
555000 1876 1124 19 6
560000 1867 1133 19 6
565000 1888 1112 19 6
570000 1885 1115 19 6
575000 1886 1114 19 6
580000 1888 1112 19 6
585000 1888 1112 19 6
590000 1894 1106 19 6
595000 1898 1102 19 6
600000 1886 1114 19 6
605000 1892 1108 19 6
610000 1896 1104 19 6
615000 1906 1094 19 6
620000 1896 1104 19 6
625000 1902 1098 19 6
630000 1900 1100 19 6
635000 1916 1084 19 6
640000 1913 1087 19 6
645000 1915 1085 19 6
650000 1931 1069 19 6
655000 1922 1078 19 6
660000 1922 1078 19 6
665000 1922 1078 19 6
670000 1924 1076 19 6
675000 1924 1076 19 6
680000 1928 1072 19 6
685000 1924 1076 19 6
690000 1931 1069 19 6
695000 1931 1069 19 6
700000 1932 1068 19 6
705000 1935 1065 19 6
710000 1928 1072 19 6
715000 1926 1074 19 6
720000 1946 1054 19 6
725000 1939 1061 19 6
730000 1933 1067 19 6
735000 1949 1051 19 6
740000 1944 1056 19 6
745000 1944 1056 19 6
750000 1937 1063 19 6
755000 1954 1046 19 6
760000 1953 1047 19 6
765000 1946 1054 19 6
770000 1945 1055 19 6
775000 1961 1039 19 6
780000 1958 1042 19 6
785000 1951 1049 19 6
790000 1955 1045 19 6
795000 1958 1042 19 6
800000 1957 1043 19 6
805000 1954 1046 19 6
810000 1966 1034 19 6
815000 1957 1043 19 6
820000 1957 1043 19 6
825000 1963 1037 19 6
830000 1958 1042 19 6
835000 1957 1043 19 6
840000 1957 1043 19 6
