step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1242 1758 17 8
5000 1277 1723 17 8
10000 1320 1680 17 8
15000 1313 1687 17 8
20000 1328 1672 17 8
25000 1343 1657 17 8
30000 1363 1637 17 8
35000 1341 1659 17 8
40000 1358 1642 17 8
45000 1363 1637 17 8
50000 1364 1636 17 8
55000 1379 1621 17 8
60000 1393 1607 17 8
65000 1397 1603 18 7
70000 1404 1596 18 7
75000 1408 1592 18 7
80000 1408 1592 18 7
85000 1426 1574 18 7
90000 1425 1575 18 7
95000 1421 1579 18 7
100000 1423 1577 18 7
105000 1440 1560 18 7
110000 1438 1562 18 7
115000 1434 1566 18 7
120000 1437 1563 18 7
125000 1434 1566 18 7
130000 1432 1568 18 7
135000 1433 1567 18 7
140000 1436 1564 18 7
145000 1440 1560 18 7
150000 1438 1562 18 7
155000 1437 1563 18 7
160000 1450 1550 18 7
165000 1445 1555 18 7
170000 1461 1539 18 7
175000 1430 1570 18 7
180000 1447 1553 18 7
185000 1445 1555 18 7
190000 1442 1558 18 7
195000 1459 1541 18 7
200000 1447 1553 18 7
205000 1449 1551 18 7
210000 1450 1550 18 7
215000 1438 1562 18 7
220000 1450 1550 18 7
225000 1449 1551 18 7
230000 1459 1541 18 7
235000 1451 1549 18 7
240000 1460 1540 18 7
245000 1470 1530 18 7
250000 1463 1537 18 7
255000 1467 1533 18 7
260000 1450 1550 18 7
265000 1473 1527 18 7
270000 1481 1519 18 7
275000 1470 1530 18 7
280000 1483 1517 18 7
285000 1483 1517 18 7
290000 1481 1519 18 7
295000 1480 1520 18 7
300000 1474 1526 18 7
305000 1473 1527 18 7
310000 1467 1533 18 7
315000 1488 1512 18 7
320000 1500 1500 18 7
325000 1490 1510 18 7
330000 1505 1495 18 7
335000 1488 1512 18 7
340000 1489 1511 18 7
345000 1486 1514 18 7
350000 1487 1513 18 7
355000 1478 1522 18 7
360000 1487 1513 18 7
365000 1496 1504 18 7
370000 1485 1515 18 7
375000 1504 1496 18 7
380000 1489 1511 18 7
385000 1482 1518 18 7
390000 1487 1513 18 7
395000 1489 1511 18 7
400000 1513 1487 18 7
405000 1496 1504 18 7
410000 1504 1496 18 7
415000 1515 1485 18 7
420000 1536 1464 18 7
425000 1527 1473 18 7
430000 1527 1473 18 7
435000 1509 1491 18 7
440000 1526 1474 18 7
445000 1524 1476 18 7
450000 1519 1481 18 7
455000 1526 1474 18 7
460000 1524 1476 18 7
465000 1521 1479 18 7
470000 1520 1480 18 7
475000 1525 1475 18 7
480000 1521 1479 18 7
485000 1520 1480 18 7
490000 1518 1482 18 7
495000 1518 1482 18 7
500000 1523 1477 18 7
505000 1521 1479 18 7
510000 1524 1476 18 7
515000 1527 1473 18 7
520000 1513 1487 18 7
525000 1527 1473 18 7
530000 1530 1470 18 7
535000 1541 1459 18 7
540000 1520 1480 18 7
545000 1534 1466 18 7
550000 1524 1476 18 7
555000 1529 1471 18 7
560000 1531 1469 18 7
565000 1515 1485 18 7
570000 1518 1482 18 7
575000 1503 1497 18 7
580000 1511 1489 18 7
585000 1515 1485 18 7
590000 1512 1488 18 7
595000 1515 1485 18 7
