step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 979 2021 63 37
5000 972 2028 63 37
10000 963 2037 64 36
15000 971 2029 65 35
20000 978 2022 65 35
25000 990 2010 65 35
30000 984 2016 65 35
35000 989 2011 64 36
40000 989 2011 64 36
45000 984 2016 65 35
50000 997 2003 64 36
55000 993 2007 65 35
60000 978 2022 65 35
65000 985 2015 65 35
70000 988 2012 65 35
75000 979 2021 65 35
80000 986 2014 65 35
85000 990 2010 65 35
90000 997 2003 65 35
95000 997 2003 65 35
100000 994 2006 64 36
105000 988 2012 64 36
110000 997 2003 65 35
115000 992 2008 64 36
120000 992 2008 65 35
125000 996 2004 65 35
130000 989 2011 64 36
135000 988 2012 64 36
140000 993 2007 65 35
145000 987 2013 65 35
150000 990 2010 65 35
155000 998 2002 65 35
160000 991 2009 65 35
165000 991 2009 65 35
170000 988 2012 65 35
175000 991 2009 65 35
180000 988 2012 65 35
185000 998 2002 65 35
190000 995 2005 65 35
195000 995 2005 65 35
200000 993 2007 65 35
205000 988 2012 65 35
210000 990 2010 64 36
215000 987 2013 65 35
220000 1000 2000 65 35
225000 993 2007 65 35
230000 987 2013 65 35
235000 992 2008 65 35
240000 993 2007 65 35
245000 995 2005 64 36
250000 999 2001 65 35
255000 998 2002 64 36
260000 1002 1998 64 36
265000 999 2001 65 35
270000 994 2006 65 35
275000 996 2004 65 35
280000 996 2004 65 35
285000 995 2005 65 35
290000 1006 1994 66 34
295000 1004 1996 66 34
300000 997 2003 66 34
305000 998 2002 66 34
310000 1011 1989 66 34
315000 1010 1990 65 35
320000 1011 1989 66 34
325000 1014 1986 66 34
330000 1004 1996 66 34
335000 1010 1990 66 34
340000 1010 1990 65 35
345000 1006 1994 65 35
350000 1001 1999 65 35
355000 1006 1994 65 35
360000 1003 1997 66 34
365000 1003 1997 66 34
370000 1000 2000 66 34
375000 1000 2000 66 34
380000 1002 1998 66 34
385000 1011 1989 66 34
390000 998 2002 65 35
395000 997 2003 66 34
400000 1004 1996 65 35
405000 999 2001 66 34
410000 1001 1999 66 34
415000 1003 1997 66 34
420000 1010 1990 65 35
425000 1002 1998 66 34
430000 1000 2000 65 35
435000 1004 1996 65 35
440000 1012 1988 65 35
445000 1007 1993 65 35
450000 1001 1999 66 34
455000 1010 1990 65 35
460000 1009 1991 66 34
465000 1011 1989 66 34
470000 1009 1991 66 34
475000 1013 1987 66 34
480000 1004 1996 66 34
485000 1009 1991 65 35
490000 1012 1988 65 35
495000 998 2002 66 34
500000 1004 1996 65 35
505000 1006 1994 66 34
510000 1006 1994 65 35
515000 1001 1999 66 34
520000 1007 1993 66 34
525000 1008 1992 66 34
530000 1003 1997 65 35
535000 1013 1987 66 34
540000 1005 1995 65 35
545000 1011 1989 66 34
550000 1015 1985 66 34
555000 1011 1989 66 34
560000 1011 1989 66 34
565000 1009 1991 66 34
570000 1004 1996 65 35
575000 1014 1986 65 35
580000 1010 1990 65 35
585000 1008 1992 65 35
590000 1017 1983 65 35
595000 1013 1987 65 35
600000 1009 1991 66 34
605000 1017 1983 66 34
610000 1018 1982 66 34
615000 1017 1983 65 35
620000 1014 1986 65 35
625000 1019 1981 66 34
630000 1019 1981 66 34
635000 1018 1982 66 34
640000 1012 1988 66 34
645000 1023 1977 65 35
650000 1009 1991 66 34
655000 1004 1996 65 35
660000 1012 1988 66 34
