step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1503 1497 34 16
5000 1535 1465 34 16
10000 1538 1462 35 15
15000 1543 1457 36 14
20000 1546 1454 36 14
25000 1558 1442 36 14
30000 1561 1439 36 14
35000 1563 1437 36 14
40000 1563 1437 36 14
45000 1581 1419 36 14
50000 1583 1417 36 14
55000 1579 1421 36 14
60000 1584 1416 36 14
65000 1584 1416 36 14
70000 1580 1420 36 14
75000 1582 1418 36 14
80000 1592 1408 36 14
85000 1594 1406 36 14
90000 1600 1400 36 14
95000 1601 1399 36 14
100000 1601 1399 36 14
105000 1612 1388 36 14
110000 1607 1393 36 14
115000 1604 1396 36 14
120000 1604 1396 36 14
125000 1600 1400 36 14
130000 1608 1392 36 14
135000 1593 1407 36 14
140000 1605 1395 36 14
145000 1596 1404 36 14
150000 1593 1407 36 14
155000 1607 1393 36 14
160000 1604 1396 36 14
165000 1608 1392 36 14
170000 1619 1381 36 14
175000 1622 1378 37 13
180000 1625 1375 37 13
185000 1613 1387 37 13
190000 1625 1375 37 13
195000 1624 1376 37 13
200000 1621 1379 37 13
205000 1628 1372 37 13
210000 1622 1378 37 13
215000 1625 1375 37 13
220000 1628 1372 37 13
225000 1634 1366 37 13
230000 1627 1373 37 13
235000 1626 1374 37 13
240000 1630 1370 37 13
245000 1633 1367 37 13
250000 1634 1366 37 13
255000 1630 1370 37 13
260000 1644 1356 37 13
265000 1637 1363 37 13
270000 1634 1366 37 13
275000 1639 1361 37 13
280000 1628 1372 37 13
285000 1622 1378 37 13
290000 1621 1379 37 13
295000 1617 1383 37 13
300000 1625 1375 37 13
305000 1631 1369 37 13
310000 1626 1374 37 13
315000 1629 1371 37 13
320000 1616 1384 37 13
325000 1625 1375 37 13
330000 1624 1376 37 13
335000 1628 1372 37 13
340000 1621 1379 37 13
345000 1630 1370 37 13
350000 1629 1371 37 13
355000 1631 1369 37 13
360000 1627 1373 37 13
365000 1628 1372 37 13
370000 1631 1369 37 13
375000 1630 1370 37 13
380000 1630 1370 37 13
385000 1626 1374 37 13
390000 1631 1369 37 13
395000 1624 1376 37 13
400000 1633 1367 37 13
405000 1629 1371 37 13
410000 1638 1362 37 13
415000 1638 1362 37 13
420000 1642 1358 37 13
425000 1637 1363 37 13
430000 1641 1359 37 13
435000 1638 1362 37 13
440000 1639 1361 37 13
445000 1643 1357 37 13
450000 1635 1365 37 13
455000 1640 1360 37 13
460000 1645 1355 37 13
465000 1644 1356 37 13
470000 1645 1355 37 13
475000 1634 1366 37 13
480000 1647 1353 37 13
485000 1640 1360 37 13
490000 1636 1364 37 13
495000 1644 1356 37 13
500000 1638 1362 37 13
505000 1639 1361 37 13
510000 1646 1354 37 13
515000 1647 1353 37 13
520000 1645 1355 37 13
525000 1641 1359 37 13
530000 1637 1363 37 13
535000 1630 1370 37 13
540000 1634 1366 37 13
