step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1054 1946 17 8
5000 1083 1917 17 8
10000 1099 1901 17 8
15000 1116 1884 17 8
20000 1124 1876 18 7
25000 1112 1888 18 7
30000 1130 1870 18 7
35000 1134 1866 18 7
40000 1135 1865 18 7
45000 1137 1863 18 7
50000 1140 1860 18 7
55000 1148 1852 18 7
60000 1144 1856 19 6
65000 1159 1841 19 6
70000 1148 1852 19 6
75000 1156 1844 19 6
80000 1159 1841 19 6
85000 1168 1832 19 6
90000 1162 1838 19 6
95000 1160 1840 19 6
100000 1164 1836 19 6
105000 1160 1840 19 6
110000 1162 1838 19 6
115000 1170 1830 19 6
120000 1174 1826 19 6
125000 1179 1821 19 6
130000 1174 1826 19 6
135000 1174 1826 19 6
140000 1175 1825 19 6
145000 1167 1833 19 6
150000 1174 1826 19 6
155000 1185 1815 19 6
160000 1183 1817 19 6
165000 1185 1815 19 6
170000 1181 1819 19 6
175000 1182 1818 19 6
180000 1178 1822 19 6
185000 1199 1801 19 6
190000 1188 1812 19 6
195000 1197 1803 19 6
200000 1191 1809 19 6
205000 1204 1796 19 6
210000 1201 1799 19 6
215000 1201 1799 19 6
220000 1198 1802 19 6
225000 1203 1797 19 6
230000 1204 1796 19 6
235000 1205 1795 19 6
240000 1200 1800 19 6
245000 1194 1806 19 6
250000 1188 1812 19 6
255000 1196 1804 19 6
260000 1209 1791 19 6
265000 1208 1792 19 6
270000 1203 1797 19 6
275000 1207 1793 19 6
280000 1205 1795 19 6
285000 1209 1791 19 6
290000 1223 1777 19 6
295000 1219 1781 19 6
300000 1207 1793 19 6
305000 1208 1792 19 6
310000 1208 1792 19 6
315000 1220 1780 19 6
320000 1211 1789 19 6
325000 1215 1785 19 6
330000 1218 1782 19 6
335000 1218 1782 19 6
340000 1217 1783 19 6
345000 1217 1783 19 6
350000 1220 1780 19 6
355000 1221 1779 19 6
360000 1220 1780 19 6
365000 1225 1775 19 6
370000 1206 1794 19 6
375000 1219 1781 19 6
380000 1225 1775 19 6
385000 1231 1769 19 6
390000 1231 1769 19 6
395000 1231 1769 19 6
400000 1232 1768 19 6
405000 1231 1769 19 6
410000 1240 1760 19 6
415000 1242 1758 19 6
420000 1236 1764 19 6
425000 1236 1764 19 6
430000 1247 1753 19 6
435000 1250 1750 19 6
440000 1247 1753 19 6
445000 1255 1745 19 6
450000 1258 1742 19 6
455000 1255 1745 19 6
460000 1262 1738 20 5
465000 1266 1734 20 5
470000 1262 1738 20 5
475000 1274 1726 20 5
