step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 792 2208 0 0
5000 801 2199 0 0
10000 821 2179 0 0
15000 824 2176 0 0
20000 831 2169 0 0
25000 830 2170 0 0
30000 836 2164 0 0
35000 830 2170 0 0
40000 832 2168 0 0
45000 835 2165 0 0
50000 827 2173 0 0
55000 840 2160 0 0
60000 844 2156 0 0
65000 839 2161 0 0
70000 847 2153 0 0
75000 839 2161 0 0
80000 845 2155 0 0
85000 838 2162 0 0
90000 853 2147 0 0
95000 849 2151 0 0
100000 841 2159 0 0
105000 845 2155 0 0
110000 844 2156 0 0
115000 853 2147 0 0
120000 842 2158 0 0
125000 837 2163 0 0
130000 833 2167 0 0
135000 844 2156 0 0
140000 838 2162 0 0
145000 844 2156 0 0
150000 844 2156 0 0
155000 837 2163 0 0
160000 849 2151 0 0
165000 841 2159 0 0
170000 844 2156 0 0
175000 855 2145 0 0
180000 838 2162 0 0
185000 844 2156 0 0
190000 837 2163 0 0
195000 844 2156 0 0
200000 843 2157 0 0
205000 838 2162 0 0
210000 847 2153 0 0
215000 856 2144 0 0
220000 852 2148 0 0
225000 840 2160 0 0
230000 838 2162 0 0
235000 858 2142 0 0
240000 856 2144 0 0
245000 848 2152 0 0
250000 854 2146 0 0
255000 853 2147 0 0
260000 860 2140 0 0
265000 857 2143 0 0
270000 859 2141 0 0
275000 855 2145 0 0
280000 850 2150 0 0
285000 858 2142 0 0
290000 862 2138 0 0
295000 867 2133 0 0
300000 855 2145 0 0
305000 867 2133 0 0
310000 860 2140 0 0
315000 865 2135 0 0
320000 857 2143 0 0
325000 855 2145 0 0
330000 866 2134 0 0
335000 865 2135 0 0
340000 867 2133 0 0
345000 874 2126 0 0
350000 877 2123 0 0
355000 875 2125 0 0
360000 876 2124 0 0
365000 883 2117 0 0
370000 883 2117 0 0
375000 881 2119 0 0
380000 878 2122 0 0
385000 874 2126 0 0
390000 872 2128 0 0
395000 884 2116 0 0
400000 879 2121 0 0
405000 877 2123 0 0
410000 885 2115 0 0
415000 886 2114 0 0
420000 872 2128 0 0
425000 886 2114 0 0
430000 881 2119 0 0
435000 887 2113 0 0
440000 878 2122 0 0
445000 880 2120 0 0
450000 884 2116 0 0
455000 883 2117 0 0
460000 892 2108 0 0
465000 896 2104 0 0
470000 884 2116 0 0
475000 892 2108 0 0
480000 882 2118 0 0
485000 881 2119 0 0
490000 896 2104 0 0
495000 896 2104 0 0
500000 896 2104 0 0
505000 886 2114 0 0
510000 895 2105 0 0
515000 893 2107 0 0
520000 892 2108 0 0
525000 889 2111 0 0
530000 888 2112 0 0
535000 894 2106 0 0
540000 899 2101 0 0
545000 895 2105 0 0
550000 901 2099 0 0
555000 894 2106 0 0
560000 899 2101 0 0
565000 899 2101 0 0
570000 902 2098 0 0
575000 903 2097 0 0
580000 895 2105 0 0
585000 899 2101 0 0
590000 900 2100 0 0
595000 892 2108 0 0
600000 900 2100 0 0
605000 896 2104 0 0
610000 900 2100 0 0
615000 896 2104 0 0
620000 902 2098 0 0
625000 905 2095 0 0
630000 898 2102 0 0
635000 893 2107 0 0
640000 901 2099 0 0
645000 902 2098 0 0
650000 901 2099 0 0
655000 904 2096 0 0
660000 904 2096 0 0
665000 905 2095 0 0
670000 904 2096 0 0
675000 902 2098 0 0
680000 906 2094 0 0
685000 905 2095 0 0
690000 898 2102 0 0
695000 917 2083 0 0
700000 905 2095 0 0
705000 895 2105 0 0
710000 900 2100 0 0
715000 917 2083 0 0
720000 910 2090 0 0
725000 912 2088 0 0
730000 925 2075 0 0
735000 927 2073 0 0
740000 928 2072 0 0
745000 919 2081 0 0
750000 913 2087 0 0
755000 922 2078 0 0
760000 924 2076 0 0
765000 915 2085 0 0
770000 925 2075 0 0
775000 923 2077 0 0
780000 930 2070 0 0
785000 926 2074 0 0
790000 929 2071 0 0
795000 925 2075 0 0
800000 921 2079 0 0
805000 916 2084 0 0
810000 924 2076 0 0
815000 928 2072 0 0
820000 926 2074 0 0
825000 919 2081 0 0
830000 927 2073 0 0
835000 928 2072 0 0
840000 931 2069 0 0
845000 924 2076 0 0
850000 918 2082 0 0
855000 926 2074 0 0
860000 927 2073 0 0
865000 930 2070 0 0
870000 932 2068 0 0
875000 916 2084 0 0
880000 917 2083 0 0
885000 929 2071 0 0
890000 927 2073 0 0
895000 917 2083 0 0
900000 930 2070 0 0
905000 926 2074 0 0
910000 926 2074 0 0
915000 933 2067 0 0
920000 936 2064 0 0
925000 935 2065 0 0
930000 930 2070 0 0
935000 920 2080 0 0
940000 931 2069 0 0
945000 935 2065 0 0
950000 920 2080 0 0
955000 937 2063 0 0
960000 929 2071 0 0
965000 933 2067 0 0
970000 939 2061 0 0
975000 939 2061 0 0
980000 940 2060 0 0
985000 936 2064 0 0
990000 941 2059 0 0
995000 942 2058 0 0
1000000 937 2063 0 0
