step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 850 2150 87 63
5000 845 2155 85 65
10000 857 2143 85 65
15000 856 2144 86 64
20000 850 2150 86 64
25000 855 2145 86 64
30000 849 2151 86 64
35000 846 2154 87 63
40000 853 2147 85 65
45000 843 2157 85 65
50000 848 2152 86 64
55000 849 2151 86 64
60000 849 2151 85 65
65000 854 2146 85 65
70000 847 2153 85 65
75000 850 2150 85 65
80000 847 2153 85 65
85000 846 2154 85 65
90000 843 2157 86 64
95000 846 2154 85 65
100000 856 2144 85 65
105000 839 2161 85 65
110000 844 2156 85 65
115000 846 2154 85 65
120000 849 2151 85 65
125000 839 2161 85 65
130000 843 2157 85 65
135000 844 2156 85 65
140000 837 2163 86 64
145000 843 2157 86 64
150000 844 2156 86 64
155000 842 2158 86 64
160000 843 2157 86 64
165000 846 2154 86 64
170000 848 2152 86 64
175000 844 2156 85 65
180000 847 2153 86 64
185000 838 2162 86 64
190000 842 2158 86 64
195000 840 2160 86 64
200000 844 2156 86 64
205000 840 2160 86 64
210000 853 2147 86 64
215000 845 2155 86 64
220000 840 2160 86 64
225000 844 2156 86 64
230000 846 2154 85 65
235000 838 2162 86 64
240000 838 2162 86 64
245000 843 2157 86 64
250000 842 2158 86 64
255000 843 2157 86 64
260000 851 2149 86 64
265000 838 2162 86 64
270000 845 2155 86 64
275000 846 2154 86 64
280000 841 2159 86 64
285000 845 2155 86 64
290000 851 2149 86 64
295000 845 2155 86 64
300000 840 2160 86 64
305000 842 2158 86 64
310000 845 2155 86 64
315000 841 2159 86 64
320000 842 2158 86 64
325000 854 2146 86 64
330000 843 2157 86 64
335000 844 2156 86 64
340000 847 2153 86 64
345000 839 2161 86 64
350000 844 2156 86 64
355000 844 2156 86 64
360000 838 2162 86 64
365000 846 2154 86 64
370000 845 2155 85 65
375000 844 2156 85 65
380000 844 2156 86 64
385000 839 2161 85 65
390000 843 2157 86 64
395000 849 2151 86 64
400000 845 2155 86 64
405000 842 2158 86 64
410000 839 2161 86 64
415000 842 2158 86 64
420000 844 2156 87 63
425000 836 2164 87 63
430000 841 2159 87 63
435000 845 2155 87 63
440000 841 2159 87 63
445000 840 2160 87 63
450000 847 2153 87 63
455000 837 2163 87 63
460000 845 2155 87 63
465000 841 2159 87 63
470000 838 2162 87 63
475000 846 2154 87 63
480000 847 2153 87 63
485000 847 2153 87 63
490000 846 2154 87 63
495000 842 2158 87 63
500000 849 2151 87 63
505000 851 2149 87 63
510000 857 2143 87 63
515000 850 2150 87 63
520000 853 2147 87 63
525000 851 2149 87 63
530000 849 2151 87 63
535000 849 2151 87 63
540000 849 2151 87 63
545000 843 2157 87 63
550000 852 2148 87 63
555000 849 2151 87 63
560000 846 2154 87 63
565000 845 2155 87 63
570000 848 2152 87 63
575000 844 2156 87 63
580000 851 2149 87 63
585000 842 2158 87 63
590000 855 2145 87 63
595000 847 2153 87 63
600000 853 2147 87 63
605000 848 2152 87 63
610000 845 2155 87 63
615000 843 2157 87 63
620000 845 2155 87 63
625000 851 2149 87 63
630000 848 2152 86 64
635000 844 2156 87 63
640000 842 2158 86 64
645000 850 2150 87 63
650000 843 2157 87 63
655000 851 2149 86 64
660000 843 2157 86 64
665000 845 2155 86 64
670000 848 2152 86 64
675000 850 2150 86 64
680000 851 2149 87 63
685000 841 2159 87 63
690000 844 2156 86 64
695000 852 2148 86 64
700000 850 2150 86 64
705000 848 2152 86 64
710000 850 2150 86 64
715000 853 2147 86 64
720000 851 2149 86 64
725000 852 2148 86 64
730000 845 2155 87 63
735000 852 2148 87 63
740000 850 2150 86 64
745000 854 2146 86 64
750000 851 2149 87 63
755000 844 2156 87 63
760000 845 2155 86 64
765000 851 2149 87 63
770000 856 2144 87 63
775000 861 2139 87 63
780000 853 2147 88 62
785000 851 2149 87 63
790000 851 2149 87 63
795000 857 2143 87 63
800000 859 2141 88 62
805000 852 2148 87 63
810000 853 2147 87 63
815000 848 2152 88 62
820000 852 2148 87 63
825000 853 2147 87 63
830000 853 2147 87 63
835000 851 2149 87 63
840000 855 2145 87 63
845000 857 2143 88 62
850000 853 2147 87 63
855000 863 2137 88 62
860000 857 2143 87 63
865000 861 2139 87 63
870000 866 2134 88 62
875000 860 2140 87 63
880000 850 2150 87 63
885000 861 2139 87 63
890000 857 2143 87 63
895000 857 2143 88 62
900000 862 2138 87 63
905000 862 2138 87 63
910000 860 2140 88 62
915000 860 2140 87 63
920000 856 2144 87 63
925000 857 2143 88 62
930000 863 2137 88 62
935000 856 2144 87 63
940000 863 2137 87 63
945000 851 2149 87 63
950000 857 2143 88 62
955000 854 2146 88 62
960000 863 2137 87 63
965000 858 2142 87 63
970000 865 2135 88 62
975000 864 2136 88 62
980000 855 2145 87 63
985000 858 2142 87 63
990000 852 2148 88 62
995000 860 2140 88 62
1000000 862 2138 87 63
1005000 865 2135 87 63
1010000 871 2129 88 62
1015000 858 2142 88 62
1020000 855 2145 88 62
1025000 866 2134 88 62
1030000 863 2137 88 62
1035000 856 2144 88 62
1040000 853 2147 87 63
1045000 852 2148 87 63
1050000 858 2142 87 63
1055000 863 2137 88 62
1060000 863 2137 88 62
1065000 863 2137 88 62
1070000 854 2146 87 63
1075000 855 2145 87 63
1080000 861 2139 87 63
1085000 858 2142 87 63
1090000 853 2147 87 63
1095000 855 2145 88 62
1100000 854 2146 87 63
1105000 853 2147 87 63
1110000 852 2148 87 63
1115000 854 2146 87 63
1120000 846 2154 87 63
1125000 863 2137 87 63
1130000 858 2142 88 62
1135000 862 2138 87 63
1140000 865 2135 87 63
1145000 862 2138 88 62
1150000 856 2144 87 63
1155000 861 2139 87 63
1160000 865 2135 87 63
1165000 865 2135 87 63
1170000 861 2139 88 62
