step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 700 2300 34 16
5000 698 2302 34 16
10000 694 2306 34 16
15000 705 2295 34 16
20000 697 2303 34 16
25000 699 2301 34 16
30000 696 2304 34 16
35000 705 2295 34 16
40000 707 2293 34 16
45000 702 2298 34 16
50000 696 2304 34 16
55000 703 2297 34 16
60000 702 2298 34 16
65000 707 2293 34 16
70000 705 2295 34 16
75000 705 2295 34 16
80000 701 2299 34 16
85000 709 2291 34 16
90000 706 2294 34 16
95000 703 2297 34 16
100000 711 2289 34 16
105000 709 2291 34 16
110000 710 2290 34 16
115000 710 2290 34 16
120000 711 2289 34 16
125000 700 2300 34 16
130000 696 2304 34 16
135000 695 2305 34 16
140000 700 2300 34 16
145000 701 2299 34 16
150000 695 2305 34 16
155000 699 2301 34 16
160000 702 2298 34 16
165000 706 2294 34 16
170000 705 2295 34 16
175000 701 2299 34 16
180000 705 2295 34 16
185000 700 2300 34 16
190000 700 2300 34 16
195000 695 2305 34 16
200000 699 2301 34 16
205000 692 2308 34 16
210000 694 2306 34 16
215000 700 2300 34 16
220000 701 2299 34 16
225000 692 2308 34 16
230000 698 2302 34 16
235000 695 2305 34 16
240000 701 2299 34 16
245000 698 2302 34 16
250000 693 2307 34 16
255000 696 2304 34 16
260000 698 2302 34 16
265000 695 2305 34 16
270000 690 2310 34 16
275000 687 2313 34 16
280000 692 2308 34 16
285000 697 2303 34 16
290000 696 2304 34 16
295000 700 2300 34 16
300000 689 2311 34 16
305000 699 2301 34 16
310000 697 2303 34 16
315000 694 2306 34 16
320000 693 2307 34 16
325000 697 2303 34 16
330000 700 2300 34 16
335000 695 2305 34 16
340000 694 2306 34 16
345000 688 2312 34 16
350000 698 2302 34 16
355000 696 2304 34 16
360000 696 2304 34 16
365000 702 2298 34 16
370000 694 2306 34 16
375000 699 2301 34 16
380000 694 2306 34 16
385000 701 2299 34 16
390000 699 2301 34 16
395000 697 2303 34 16
400000 695 2305 34 16
405000 703 2297 34 16
410000 700 2300 34 16
415000 703 2297 34 16
420000 694 2306 34 16
425000 693 2307 34 16
430000 697 2303 34 16
435000 703 2297 34 16
440000 703 2297 34 16
445000 698 2302 34 16
450000 699 2301 34 16
455000 691 2309 34 16
460000 702 2298 34 16
465000 704 2296 34 16
470000 699 2301 34 16
475000 707 2293 34 16
480000 699 2301 34 16
485000 697 2303 34 16
490000 698 2302 34 16
495000 697 2303 34 16
500000 686 2314 34 16
505000 695 2305 34 16
510000 697 2303 34 16
515000 696 2304 34 16
520000 705 2295 34 16
525000 698 2302 34 16
530000 695 2305 34 16
535000 696 2304 34 16
540000 700 2300 34 16
545000 695 2305 34 16
550000 698 2302 34 16
555000 692 2308 34 16
560000 694 2306 34 16
565000 692 2308 34 16
570000 688 2312 34 16
575000 700 2300 34 16
580000 696 2304 34 16
585000 707 2293 34 16
590000 699 2301 34 16
595000 698 2302 34 16
600000 698 2302 34 16
605000 693 2307 34 16
610000 691 2309 34 16
615000 695 2305 34 16
620000 696 2304 34 16
625000 699 2301 34 16
630000 702 2298 34 16
635000 701 2299 34 16
640000 702 2298 34 16
645000 700 2300 34 16
650000 704 2296 34 16
655000 702 2298 34 16
660000 702 2298 34 16
665000 696 2304 34 16
670000 701 2299 34 16
675000 695 2305 34 16
680000 692 2308 34 16
685000 705 2295 34 16
690000 698 2302 34 16
695000 699 2301 34 16
700000 692 2308 34 16
705000 694 2306 34 16
710000 707 2293 34 16
715000 698 2302 34 16
720000 701 2299 34 16
725000 696 2304 34 16
730000 699 2301 34 16
735000 698 2302 34 16
740000 698 2302 34 16
745000 700 2300 34 16
750000 692 2308 34 16
755000 705 2295 34 16
760000 699 2301 34 16
765000 692 2308 34 16
770000 698 2302 34 16
775000 698 2302 34 16
780000 696 2304 34 16
785000 701 2299 34 16
790000 710 2290 34 16
795000 710 2290 34 16
800000 697 2303 34 16
805000 703 2297 34 16
810000 701 2299 34 16
815000 701 2299 34 16
820000 702 2298 34 16
825000 699 2301 34 16
830000 700 2300 34 16
835000 699 2301 34 16
840000 696 2304 34 16
845000 696 2304 34 16
850000 706 2294 34 16
855000 694 2306 34 16
860000 697 2303 34 16
865000 704 2296 34 16
870000 701 2299 34 16
875000 706 2294 34 16
880000 697 2303 34 16
885000 698 2302 34 16
890000 710 2290 34 16
895000 702 2298 34 16
900000 700 2300 34 16
905000 702 2298 34 16
910000 703 2297 34 16
915000 704 2296 34 16
920000 699 2301 34 16
925000 701 2299 34 16
930000 704 2296 34 16
935000 705 2295 34 16
940000 695 2305 34 16
945000 705 2295 34 16
950000 702 2298 34 16
955000 697 2303 34 16
960000 690 2310 34 16
965000 692 2308 34 16
970000 697 2303 34 16
975000 700 2300 34 16
980000 697 2303 34 16
985000 697 2303 34 16
990000 700 2300 34 16
995000 697 2303 34 16
1000000 697 2303 34 16
1005000 695 2305 34 16
1010000 696 2304 34 16
1015000 703 2297 34 16
1020000 699 2301 34 16
1025000 696 2304 34 16
1030000 698 2302 34 16
1035000 701 2299 34 16
1040000 700 2300 34 16
1045000 698 2302 34 16
1050000 703 2297 34 16
1055000 697 2303 34 16
1060000 706 2294 34 16
1065000 700 2300 34 16
1070000 697 2303 34 16
1075000 696 2304 34 16
1080000 701 2299 34 16
1085000 700 2300 34 16
1090000 694 2306 34 16
1095000 701 2299 34 16
1100000 698 2302 34 16
1105000 697 2303 34 16
1110000 699 2301 34 16
1115000 702 2298 34 16
1120000 704 2296 34 16
1125000 699 2301 34 16
1130000 694 2306 34 16
1135000 700 2300 34 16
1140000 698 2302 34 16
1145000 704 2296 34 16
1150000 699 2301 34 16
1155000 696 2304 34 16
1160000 707 2293 34 16
1165000 701 2299 34 16
1170000 710 2290 34 16
1175000 705 2295 34 16
1180000 697 2303 34 16
