step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1305 1695 16 9
5000 1329 1671 16 9
10000 1350 1650 16 9
15000 1388 1612 17 8
20000 1386 1614 17 8
25000 1402 1598 17 8
30000 1412 1588 17 8
35000 1415 1585 17 8
40000 1427 1573 17 8
45000 1439 1561 17 8
50000 1433 1567 17 8
55000 1425 1575 17 8
60000 1443 1557 17 8
65000 1442 1558 17 8
70000 1457 1543 17 8
75000 1457 1543 17 8
80000 1452 1548 17 8
85000 1435 1565 17 8
90000 1456 1544 17 8
95000 1470 1530 17 8
100000 1465 1535 17 8
105000 1467 1533 17 8
110000 1477 1523 17 8
115000 1480 1520 17 8
120000 1464 1536 17 8
125000 1483 1517 17 8
130000 1481 1519 17 8
135000 1487 1513 17 8
140000 1476 1524 17 8
145000 1474 1526 17 8
150000 1496 1504 17 8
155000 1496 1504 17 8
160000 1482 1518 17 8
165000 1495 1505 17 8
170000 1506 1494 17 8
175000 1503 1497 17 8
180000 1505 1495 17 8
185000 1518 1482 17 8
190000 1523 1477 17 8
195000 1518 1482 17 8
200000 1523 1477 17 8
205000 1519 1481 17 8
210000 1533 1467 17 8
215000 1529 1471 17 8
220000 1544 1456 17 8
225000 1525 1475 17 8
230000 1532 1468 17 8
235000 1538 1462 17 8
240000 1533 1467 17 8
245000 1547 1453 17 8
250000 1551 1449 17 8
255000 1549 1451 17 8
260000 1557 1443 17 8
265000 1554 1446 17 8
270000 1559 1441 17 8
275000 1577 1423 17 8
280000 1579 1421 17 8
285000 1560 1440 17 8
290000 1572 1428 18 7
295000 1573 1427 18 7
300000 1577 1423 18 7
305000 1595 1405 18 7
310000 1594 1406 18 7
315000 1589 1411 18 7
320000 1589 1411 18 7
325000 1596 1404 18 7
330000 1592 1408 19 6
335000 1600 1400 18 7
340000 1590 1410 18 7
345000 1581 1419 18 7
350000 1602 1398 18 7
355000 1600 1400 18 7
360000 1597 1403 18 7
365000 1598 1402 18 7
370000 1595 1405 18 7
375000 1582 1418 18 7
380000 1599 1401 18 7
385000 1609 1391 18 7
390000 1611 1389 18 7
395000 1604 1396 18 7
400000 1608 1392 18 7
405000 1610 1390 18 7
410000 1605 1395 18 7
415000 1619 1381 18 7
420000 1609 1391 18 7
425000 1608 1392 18 7
430000 1603 1397 18 7
435000 1611 1389 18 7
440000 1610 1390 19 6
445000 1610 1390 18 7
450000 1618 1382 18 7
455000 1614 1386 18 7
460000 1622 1378 18 7
465000 1627 1373 19 6
470000 1620 1380 18 7
475000 1620 1380 18 7
480000 1627 1373 18 7
485000 1622 1378 18 7
490000 1638 1362 19 6
495000 1645 1355 19 6
500000 1631 1369 19 6
505000 1635 1365 19 6
510000 1624 1376 19 6
515000 1650 1350 19 6
520000 1650 1350 19 6
525000 1659 1341 19 6
530000 1656 1344 19 6
535000 1647 1353 18 7
540000 1661 1339 19 6
545000 1662 1338 19 6
550000 1664 1336 19 6
555000 1662 1338 18 7
560000 1653 1347 19 6
565000 1650 1350 19 6
570000 1667 1333 19 6
575000 1655 1345 19 6
580000 1661 1339 19 6
585000 1656 1344 19 6
590000 1660 1340 19 6
595000 1671 1329 19 6
600000 1667 1333 19 6
605000 1675 1325 19 6
610000 1668 1332 19 6
615000 1667 1333 19 6
620000 1680 1320 19 6
625000 1681 1319 19 6
630000 1671 1329 19 6
635000 1668 1332 19 6
640000 1682 1318 19 6
645000 1687 1313 19 6
650000 1676 1324 19 6
655000 1679 1321 19 6
660000 1673 1327 19 6
665000 1680 1320 19 6
670000 1688 1312 19 6
675000 1688 1312 19 6
680000 1673 1327 19 6
685000 1677 1323 19 6
690000 1674 1326 19 6
695000 1671 1329 19 6
700000 1680 1320 19 6
705000 1675 1325 19 6
710000 1669 1331 19 6
715000 1667 1333 19 6
720000 1665 1335 19 6
725000 1675 1325 19 6
730000 1671 1329 19 6
735000 1673 1327 19 6
740000 1677 1323 19 6
745000 1667 1333 19 6
750000 1677 1323 19 6
755000 1680 1320 19 6
760000 1681 1319 19 6
765000 1685 1315 19 6
770000 1680 1320 19 6
775000 1679 1321 19 6
780000 1670 1330 19 6
785000 1683 1317 19 6
790000 1680 1320 19 6
795000 1673 1327 19 6
800000 1684 1316 19 6
805000 1673 1327 19 6
810000 1674 1326 19 6
815000 1681 1319 19 6
820000 1677 1323 19 6
825000 1686 1314 19 6
830000 1676 1324 19 6
835000 1680 1320 19 6
840000 1688 1312 19 6
845000 1693 1307 19 6
850000 1693 1307 19 6
855000 1672 1328 19 6
