step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1105 1895 0 0
5000 1138 1862 0 0
10000 1148 1852 0 0
15000 1160 1840 0 0
20000 1156 1844 0 0
25000 1162 1838 0 0
30000 1169 1831 0 0
35000 1178 1822 0 0
40000 1193 1807 0 0
45000 1201 1799 0 0
50000 1197 1803 0 0
55000 1209 1791 0 0
60000 1226 1774 0 0
65000 1219 1781 0 0
70000 1235 1765 0 0
75000 1231 1769 0 0
80000 1234 1766 0 0
85000 1234 1766 0 0
90000 1227 1773 0 0
95000 1248 1752 0 0
100000 1247 1753 0 0
105000 1248 1752 0 0
110000 1241 1759 0 0
115000 1261 1739 0 0
120000 1269 1731 0 0
125000 1264 1736 0 0
130000 1252 1748 0 0
135000 1255 1745 0 0
140000 1254 1746 0 0
145000 1258 1742 0 0
150000 1258 1742 0 0
155000 1274 1726 0 0
160000 1272 1728 0 0
165000 1282 1718 0 0
170000 1286 1714 0 0
175000 1282 1718 0 0
180000 1289 1711 0 0
185000 1289 1711 0 0
190000 1297 1703 0 0
195000 1292 1708 0 0
200000 1308 1692 0 0
205000 1295 1705 0 0
210000 1286 1714 0 0
215000 1301 1699 0 0
220000 1299 1701 0 0
225000 1297 1703 0 0
230000 1300 1700 0 0
235000 1304 1696 0 0
240000 1312 1688 0 0
245000 1306 1694 0 0
250000 1309 1691 0 0
255000 1321 1679 0 0
260000 1324 1676 0 0
265000 1329 1671 0 0
270000 1329 1671 0 0
275000 1319 1681 0 0
280000 1329 1671 0 0
285000 1339 1661 0 0
290000 1334 1666 0 0
295000 1339 1661 0 0
300000 1333 1667 0 0
305000 1348 1652 0 0
310000 1347 1653 0 0
315000 1355 1645 0 0
320000 1357 1643 0 0
325000 1349 1651 0 0
330000 1363 1637 0 0
335000 1365 1635 0 0
340000 1373 1627 0 0
345000 1371 1629 0 0
350000 1359 1641 0 0
355000 1367 1633 0 0
360000 1374 1626 0 0
365000 1383 1617 0 0
370000 1374 1626 0 0
375000 1378 1622 0 0
380000 1372 1628 0 0
385000 1365 1635 0 0
390000 1378 1622 0 0
395000 1368 1632 0 0
400000 1368 1632 0 0
405000 1381 1619 0 0
410000 1368 1632 0 0
415000 1369 1631 0 0
420000 1375 1625 0 0
425000 1380 1620 0 0
430000 1373 1627 0 0
435000 1391 1609 0 0
440000 1397 1603 0 0
445000 1393 1607 0 0
450000 1396 1604 0 0
455000 1391 1609 0 0
460000 1404 1596 0 0
465000 1402 1598 0 0
470000 1397 1603 0 0
475000 1394 1606 0 0
480000 1411 1589 0 0
485000 1400 1600 0 0
490000 1404 1596 0 0
495000 1415 1585 0 0
500000 1411 1589 0 0
505000 1413 1587 0 0
510000 1422 1578 0 0
515000 1419 1581 0 0
520000 1433 1567 0 0
525000 1426 1574 0 0
530000 1417 1583 0 0
535000 1430 1570 0 0
540000 1424 1576 0 0
545000 1422 1578 0 0
550000 1430 1570 0 0
555000 1430 1570 0 0
560000 1426 1574 0 0
565000 1425 1575 0 0
570000 1429 1571 0 0
575000 1433 1567 0 0
580000 1431 1569 0 0
585000 1430 1570 0 0
590000 1432 1568 0 0
595000 1439 1561 0 0
600000 1440 1560 0 0
605000 1440 1560 0 0
610000 1434 1566 0 0
615000 1442 1558 0 0
620000 1448 1552 0 0
625000 1441 1559 0 0
630000 1440 1560 0 0
635000 1439 1561 0 0
640000 1455 1545 0 0
645000 1452 1548 0 0
650000 1457 1543 0 0
655000 1448 1552 0 0
660000 1452 1548 0 0
665000 1466 1534 0 0
670000 1461 1539 0 0
675000 1458 1542 0 0
680000 1465 1535 0 0
685000 1484 1516 0 0
690000 1460 1540 0 0
695000 1481 1519 0 0
700000 1484 1516 0 0
705000 1487 1513 0 0
710000 1474 1526 0 0
715000 1479 1521 0 0
720000 1485 1515 0 0
725000 1491 1509 0 0
730000 1487 1513 0 0
735000 1487 1513 0 0
740000 1480 1520 0 0
745000 1482 1518 0 0
750000 1483 1517 0 0
755000 1511 1489 0 0
760000 1495 1505 0 0
765000 1491 1509 0 0
770000 1504 1496 0 0
775000 1507 1493 0 0
780000 1510 1490 0 0
785000 1508 1492 0 0
790000 1510 1490 0 0
795000 1514 1486 0 0
800000 1508 1492 0 0
805000 1513 1487 0 0
810000 1519 1481 0 0
815000 1514 1486 0 0
820000 1508 1492 0 0
825000 1517 1483 0 0
830000 1525 1475 0 0
835000 1519 1481 0 0
840000 1526 1474 0 0
845000 1534 1466 0 0
850000 1543 1457 0 0
855000 1547 1453 0 0
860000 1538 1462 0 0
865000 1547 1453 0 0
870000 1546 1454 0 0
875000 1532 1468 0 0
880000 1535 1465 0 0
885000 1544 1456 0 0
890000 1548 1452 0 0
895000 1540 1460 0 0
900000 1551 1449 0 0
905000 1549 1451 0 0
910000 1538 1462 0 0
915000 1544 1456 0 0
920000 1548 1452 0 0
925000 1549 1451 0 0
930000 1554 1446 0 0
935000 1546 1454 0 0
940000 1556 1444 0 0
945000 1555 1445 0 0
950000 1554 1446 0 0
955000 1559 1441 0 0
960000 1551 1449 0 0
965000 1552 1448 0 0
970000 1565 1435 0 0
975000 1568 1432 0 0
980000 1563 1437 0 0
985000 1571 1429 0 0
990000 1559 1441 0 0
995000 1567 1433 0 0
1000000 1576 1424 0 0
