step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1100 1900 89 61
5000 1110 1890 89 61
10000 1123 1877 90 60
15000 1124 1876 90 60
20000 1123 1877 90 60
25000 1124 1876 91 59
30000 1128 1872 91 59
35000 1117 1883 91 59
40000 1124 1876 91 59
45000 1121 1879 91 59
50000 1119 1881 91 59
55000 1112 1888 91 59
60000 1114 1886 91 59
65000 1119 1881 91 59
70000 1122 1878 91 59
75000 1112 1888 91 59
80000 1121 1879 91 59
85000 1113 1887 91 59
90000 1117 1883 91 59
95000 1116 1884 91 59
100000 1117 1883 91 59
105000 1123 1877 91 59
110000 1117 1883 91 59
115000 1113 1887 91 59
120000 1118 1882 91 59
125000 1127 1873 91 59
130000 1137 1863 91 59
135000 1130 1870 91 59
140000 1128 1872 91 59
145000 1132 1868 91 59
150000 1125 1875 91 59
155000 1123 1877 90 60
160000 1122 1878 90 60
165000 1119 1881 90 60
170000 1119 1881 90 60
175000 1121 1879 90 60
180000 1123 1877 90 60
185000 1131 1869 90 60
190000 1124 1876 90 60
195000 1131 1869 90 60
200000 1124 1876 90 60
205000 1120 1880 90 60
210000 1126 1874 90 60
215000 1123 1877 90 60
220000 1125 1875 90 60
225000 1128 1872 90 60
230000 1120 1880 90 60
235000 1130 1870 90 60
240000 1130 1870 91 59
245000 1122 1878 90 60
250000 1129 1871 90 60
255000 1130 1870 90 60
260000 1126 1874 90 60
265000 1128 1872 90 60
270000 1127 1873 90 60
275000 1120 1880 90 60
280000 1115 1885 90 60
285000 1124 1876 90 60
290000 1127 1873 90 60
295000 1119 1881 90 60
300000 1120 1880 90 60
305000 1123 1877 90 60
310000 1125 1875 90 60
315000 1123 1877 90 60
320000 1124 1876 90 60
325000 1121 1879 90 60
330000 1127 1873 90 60
335000 1126 1874 90 60
340000 1122 1878 90 60
345000 1132 1868 91 59
350000 1126 1874 91 59
355000 1129 1871 90 60
360000 1132 1868 90 60
365000 1121 1879 90 60
370000 1123 1877 90 60
375000 1122 1878 90 60
380000 1126 1874 91 59
385000 1120 1880 90 60
390000 1129 1871 90 60
395000 1135 1865 90 60
400000 1134 1866 91 59
405000 1131 1869 91 59
410000 1128 1872 91 59
415000 1128 1872 90 60
420000 1133 1867 91 59
425000 1132 1868 90 60
430000 1136 1864 90 60
435000 1129 1871 90 60
440000 1126 1874 90 60
445000 1126 1874 90 60
450000 1131 1869 89 61
455000 1131 1869 90 60
460000 1132 1868 90 60
465000 1126 1874 89 61
470000 1129 1871 90 60
475000 1132 1868 90 60
480000 1124 1876 90 60
485000 1125 1875 90 60
490000 1126 1874 90 60
495000 1118 1882 90 60
500000 1123 1877 90 60
505000 1123 1877 90 60
510000 1123 1877 90 60
515000 1122 1878 90 60
520000 1127 1873 90 60
525000 1133 1867 89 61
530000 1127 1873 90 60
535000 1136 1864 90 60
540000 1129 1871 90 60
545000 1132 1868 90 60
550000 1131 1869 90 60
555000 1128 1872 90 60
560000 1129 1871 90 60
565000 1124 1876 90 60
570000 1128 1872 90 60
575000 1119 1881 90 60
580000 1132 1868 90 60
585000 1129 1871 90 60
590000 1124 1876 90 60
595000 1124 1876 90 60
600000 1127 1873 90 60
605000 1123 1877 90 60
610000 1127 1873 90 60
615000 1125 1875 90 60
620000 1129 1871 90 60
625000 1136 1864 90 60
630000 1133 1867 90 60
635000 1129 1871 90 60
640000 1136 1864 90 60
645000 1133 1867 90 60
650000 1134 1866 90 60
655000 1135 1865 89 61
660000 1136 1864 90 60
665000 1137 1863 90 60
670000 1131 1869 90 60
675000 1139 1861 90 60
680000 1135 1865 90 60
685000 1132 1868 90 60
690000 1133 1867 89 61
695000 1129 1871 90 60
700000 1131 1869 90 60
705000 1136 1864 90 60
710000 1129 1871 90 60
715000 1133 1867 90 60
720000 1136 1864 90 60
725000 1125 1875 90 60
730000 1119 1881 90 60
735000 1125 1875 90 60
740000 1130 1870 90 60
745000 1134 1866 90 60
750000 1138 1862 91 59
755000 1130 1870 90 60
760000 1132 1868 91 59
765000 1141 1859 91 59
770000 1126 1874 91 59
775000 1133 1867 91 59
780000 1133 1867 91 59
785000 1136 1864 92 58
790000 1132 1868 91 59
795000 1133 1867 89 61
800000 1136 1864 91 59
805000 1138 1862 90 60
810000 1136 1864 91 59
815000 1139 1861 92 58
820000 1127 1873 92 58
825000 1138 1862 91 59
830000 1137 1863 91 59
835000 1134 1866 92 58
840000 1133 1867 92 58
845000 1135 1865 92 58
850000 1134 1866 92 58
855000 1135 1865 92 58
860000 1131 1869 92 58
865000 1128 1872 92 58
870000 1130 1870 92 58
875000 1133 1867 92 58
880000 1136 1864 92 58
885000 1137 1863 92 58
890000 1137 1863 91 59
895000 1138 1862 92 58
900000 1136 1864 92 58
905000 1139 1861 92 58
910000 1137 1863 92 58
915000 1139 1861 92 58
920000 1134 1866 92 58
925000 1132 1868 92 58
930000 1134 1866 92 58
935000 1131 1869 92 58
940000 1140 1860 92 58
945000 1139 1861 92 58
950000 1128 1872 92 58
955000 1126 1874 92 58
960000 1126 1874 92 58
965000 1131 1869 92 58
970000 1131 1869 92 58
975000 1129 1871 91 59
980000 1135 1865 92 58
985000 1125 1875 92 58
990000 1126 1874 92 58
995000 1131 1869 92 58
1000000 1131 1869 92 58
1005000 1133 1867 92 58
1010000 1128 1872 92 58
1015000 1127 1873 92 58
1020000 1131 1869 92 58
1025000 1131 1869 92 58
1030000 1121 1879 92 58
1035000 1130 1870 92 58
1040000 1127 1873 92 58
1045000 1128 1872 92 58
1050000 1122 1878 92 58
1055000 1123 1877 92 58
1060000 1121 1879 92 58
1065000 1117 1883 92 58
1070000 1119 1881 92 58
1075000 1114 1886 92 58
1080000 1127 1873 92 58
1085000 1123 1877 92 58
1090000 1126 1874 92 58
1095000 1125 1875 92 58
1100000 1128 1872 92 58
1105000 1127 1873 92 58
1110000 1121 1879 92 58
1115000 1123 1877 92 58
1120000 1120 1880 92 58
1125000 1116 1884 92 58
1130000 1127 1873 92 58
1135000 1125 1875 92 58
1140000 1122 1878 92 58
1145000 1123 1877 92 58
1150000 1130 1870 92 58
1155000 1124 1876 92 58
1160000 1123 1877 92 58
1165000 1115 1885 92 58
1170000 1119 1881 92 58
1175000 1118 1882 92 58
1180000 1124 1876 92 58
1185000 1116 1884 90 60
1190000 1124 1876 92 58
1195000 1114 1886 92 58
1200000 1122 1878 92 58
1205000 1120 1880 92 58
1210000 1114 1886 92 58
1215000 1117 1883 92 58
1220000 1119 1881 92 58
1225000 1121 1879 92 58
1230000 1117 1883 92 58
1235000 1109 1891 92 58
1240000 1111 1889 92 58
1245000 1125 1875 92 58
1250000 1128 1872 92 58
1255000 1125 1875 92 58
1260000 1124 1876 92 58
1265000 1121 1879 92 58
1270000 1123 1877 92 58
1275000 1121 1879 92 58
1280000 1128 1872 92 58
1285000 1123 1877 92 58
1290000 1126 1874 91 59
1295000 1124 1876 92 58
1300000 1115 1885 92 58
1305000 1116 1884 92 58
1310000 1120 1880 92 58
1315000 1122 1878 92 58
1320000 1118 1882 92 58
1325000 1124 1876 92 58
1330000 1120 1880 92 58
1335000 1125 1875 92 58
1340000 1119 1881 92 58
1345000 1116 1884 92 58
1350000 1119 1881 92 58
1355000 1111 1889 91 59
1360000 1110 1890 92 58
1365000 1114 1886 92 58
1370000 1115 1885 92 58
1375000 1123 1877 92 58
1380000 1122 1878 91 59
1385000 1119 1881 92 58
1390000 1126 1874 92 58
1395000 1127 1873 92 58
1400000 1119 1881 91 59
1405000 1129 1871 92 58
1410000 1127 1873 92 58
1415000 1127 1873 92 58
1420000 1125 1875 92 58
1425000 1126 1874 92 58
1430000 1123 1877 92 58
1435000 1121 1879 92 58
1440000 1125 1875 92 58
1445000 1119 1881 92 58
1450000 1119 1881 92 58
1455000 1116 1884 92 58
1460000 1120 1880 92 58
1465000 1128 1872 92 58
1470000 1127 1873 92 58
1475000 1117 1883 92 58
1480000 1131 1869 92 58
1485000 1126 1874 92 58
1490000 1132 1868 91 59
1495000 1126 1874 92 58
1500000 1127 1873 92 58
1505000 1130 1870 92 58
1510000 1137 1863 92 58
1515000 1131 1869 92 58
1520000 1126 1874 91 59
1525000 1138 1862 92 58
1530000 1129 1871 92 58
1535000 1132 1868 92 58
1540000 1141 1859 92 58
1545000 1131 1869 92 58
1550000 1144 1856 91 59
1555000 1141 1859 92 58
1560000 1137 1863 92 58
1565000 1137 1863 92 58
1570000 1141 1859 92 58
1575000 1138 1862 92 58
1580000 1137 1863 92 58
1585000 1126 1874 92 58
1590000 1131 1869 92 58
1595000 1137 1863 92 58
1600000 1129 1871 92 58
1605000 1126 1874 92 58
1610000 1130 1870 92 58
1615000 1128 1872 92 58
1620000 1132 1868 92 58
1625000 1134 1866 92 58
1630000 1129 1871 92 58
1635000 1130 1870 92 58
1640000 1122 1878 92 58
1645000 1128 1872 92 58
1650000 1134 1866 92 58
1655000 1133 1867 91 59
1660000 1131 1869 92 58
1665000 1128 1872 92 58
1670000 1131 1869 92 58
1675000 1125 1875 91 59
1680000 1130 1870 92 58
1685000 1130 1870 92 58
1690000 1134 1866 92 58
1695000 1130 1870 92 58
1700000 1131 1869 91 59
1705000 1133 1867 92 58
1710000 1131 1869 91 59
1715000 1128 1872 92 58
1720000 1136 1864 92 58
1725000 1138 1862 92 58
1730000 1145 1855 92 58
1735000 1139 1861 92 58
1740000 1134 1866 92 58
1745000 1131 1869 92 58
1750000 1134 1866 92 58
1755000 1140 1860 92 58
1760000 1139 1861 92 58
1765000 1134 1866 92 58
1770000 1142 1858 92 58
1775000 1134 1866 92 58
1780000 1128 1872 92 58
1785000 1136 1864 91 59
1790000 1137 1863 92 58
1795000 1133 1867 92 58
1800000 1139 1861 92 58
1805000 1138 1862 92 58
1810000 1139 1861 92 58
1815000 1132 1868 92 58
1820000 1134 1866 92 58
1825000 1138 1862 91 59
1830000 1127 1873 91 59
1835000 1134 1866 92 58
1840000 1133 1867 92 58
1845000 1143 1857 92 58
1850000 1136 1864 92 58
1855000 1132 1868 92 58
1860000 1131 1869 92 58
1865000 1123 1877 92 58
1870000 1136 1864 92 58
1875000 1132 1868 92 58
1880000 1138 1862 92 58
1885000 1144 1856 92 58
1890000 1141 1859 92 58
1895000 1139 1861 92 58
1900000 1134 1866 92 58
1905000 1133 1867 91 59
1910000 1128 1872 92 58
1915000 1133 1867 92 58
1920000 1138 1862 92 58
1925000 1132 1868 92 58
1930000 1138 1862 92 58
1935000 1139 1861 92 58
1940000 1139 1861 92 58
1945000 1134 1866 92 58
1950000 1136 1864 92 58
1955000 1146 1854 91 59
1960000 1133 1867 92 58
1965000 1130 1870 92 58
1970000 1138 1862 92 58
1975000 1137 1863 92 58
1980000 1137 1863 92 58
1985000 1139 1861 92 58
1990000 1141 1859 92 58
1995000 1153 1847 92 58
2000000 1135 1865 92 58
2005000 1139 1861 92 58
2010000 1141 1859 92 58
2015000 1145 1855 92 58
2020000 1143 1857 92 58
2025000 1141 1859 92 58
2030000 1141 1859 92 58
2035000 1146 1854 91 59
2040000 1142 1858 92 58
2045000 1141 1859 92 58
2050000 1143 1857 92 58
2055000 1143 1857 92 58
2060000 1139 1861 92 58
2065000 1141 1859 92 58
2070000 1138 1862 92 58
2075000 1135 1865 92 58
2080000 1140 1860 92 58
2085000 1136 1864 92 58
2090000 1140 1860 92 58
2095000 1126 1874 91 59
2100000 1132 1868 91 59
2105000 1128 1872 92 58
2110000 1134 1866 92 58
2115000 1128 1872 92 58
2120000 1131 1869 92 58
2125000 1140 1860 92 58
2130000 1135 1865 92 58
2135000 1137 1863 92 58
2140000 1136 1864 92 58
2145000 1139 1861 92 58
2150000 1135 1865 92 58
2155000 1138 1862 92 58
2160000 1145 1855 92 58
2165000 1137 1863 92 58
2170000 1128 1872 92 58
2175000 1133 1867 92 58
2180000 1137 1863 92 58
2185000 1134 1866 92 58
2190000 1140 1860 92 58
2195000 1149 1851 91 59
2200000 1139 1861 92 58
2205000 1142 1858 92 58
2210000 1136 1864 92 58
2215000 1135 1865 92 58
2220000 1141 1859 92 58
2225000 1146 1854 92 58
2230000 1145 1855 91 59
2235000 1138 1862 92 58
2240000 1133 1867 92 58
2245000 1144 1856 92 58
2250000 1142 1858 91 59
2255000 1141 1859 92 58
2260000 1145 1855 91 59
2265000 1148 1852 92 58
2270000 1150 1850 92 58
2275000 1152 1848 92 58
2280000 1155 1845 92 58
2285000 1147 1853 92 58
2290000 1147 1853 91 59
2295000 1147 1853 92 58
2300000 1150 1850 92 58
2305000 1148 1852 92 58
2310000 1146 1854 92 58
2315000 1140 1860 92 58
2320000 1145 1855 91 59
2325000 1148 1852 92 58
2330000 1140 1860 91 59
2335000 1152 1848 92 58
2340000 1148 1852 92 58
2345000 1144 1856 92 58
2350000 1139 1861 92 58
2355000 1136 1864 92 58
2360000 1135 1865 91 59
2365000 1142 1858 92 58
2370000 1133 1867 92 58
2375000 1148 1852 92 58
2380000 1138 1862 92 58
2385000 1134 1866 92 58
2390000 1139 1861 92 58
2395000 1139 1861 92 58
2400000 1138 1862 92 58
2405000 1154 1846 92 58
2410000 1137 1863 92 58
2415000 1139 1861 92 58
2420000 1152 1848 92 58
2425000 1149 1851 92 58
2430000 1151 1849 92 58
2435000 1144 1856 92 58
2440000 1150 1850 92 58
2445000 1153 1847 92 58
2450000 1145 1855 92 58
2455000 1152 1848 92 58
2460000 1147 1853 91 59
2465000 1153 1847 91 59
2470000 1145 1855 92 58
2475000 1153 1847 92 58
2480000 1149 1851 92 58
2485000 1149 1851 92 58
2490000 1148 1852 92 58
2495000 1144 1856 92 58
2500000 1153 1847 92 58
2505000 1145 1855 92 58
2510000 1147 1853 92 58
2515000 1152 1848 92 58
2520000 1149 1851 92 58
2525000 1151 1849 92 58
2530000 1152 1848 92 58
2535000 1156 1844 92 58
2540000 1150 1850 92 58
2545000 1154 1846 92 58
2550000 1151 1849 92 58
2555000 1148 1852 92 58
2560000 1149 1851 92 58
2565000 1149 1851 92 58
2570000 1149 1851 92 58
2575000 1143 1857 92 58
2580000 1149 1851 92 58
2585000 1152 1848 92 58
2590000 1150 1850 92 58
2595000 1147 1853 92 58
2600000 1162 1838 92 58
2605000 1151 1849 92 58
2610000 1150 1850 92 58
2615000 1149 1851 92 58
2620000 1150 1850 91 59
2625000 1150 1850 92 58
2630000 1153 1847 92 58
2635000 1151 1849 92 58
2640000 1151 1849 92 58
2645000 1148 1852 92 58
2650000 1156 1844 92 58
2655000 1152 1848 92 58
2660000 1150 1850 92 58
2665000 1148 1852 92 58
2670000 1149 1851 92 58
2675000 1152 1848 92 58
2680000 1157 1843 92 58
2685000 1155 1845 92 58
2690000 1153 1847 92 58
2695000 1153 1847 92 58
2700000 1154 1846 92 58
2705000 1150 1850 93 57
2710000 1154 1846 92 58
2715000 1152 1848 92 58
2720000 1157 1843 92 58
2725000 1155 1845 92 58
2730000 1153 1847 92 58
2735000 1154 1846 92 58
2740000 1148 1852 92 58
2745000 1149 1851 92 58
2750000 1144 1856 91 59
2755000 1156 1844 91 59
2760000 1153 1847 92 58
2765000 1151 1849 92 58
2770000 1146 1854 92 58
2775000 1149 1851 92 58
2780000 1155 1845 92 58
2785000 1154 1846 92 58
2790000 1155 1845 92 58
2795000 1154 1846 92 58
2800000 1149 1851 92 58
2805000 1153 1847 92 58
2810000 1156 1844 92 58
2815000 1163 1837 92 58
2820000 1158 1842 92 58
2825000 1147 1853 92 58
2830000 1153 1847 92 58
2835000 1149 1851 91 59
2840000 1153 1847 92 58
2845000 1161 1839 92 58
2850000 1155 1845 92 58
2855000 1155 1845 92 58
2860000 1154 1846 92 58
2865000 1156 1844 92 58
2870000 1148 1852 92 58
2875000 1152 1848 92 58
2880000 1153 1847 92 58
2885000 1148 1852 92 58
2890000 1150 1850 92 58
2895000 1156 1844 92 58
2900000 1154 1846 92 58
2905000 1154 1846 92 58
2910000 1152 1848 92 58
2915000 1155 1845 92 58
2920000 1156 1844 92 58
2925000 1147 1853 92 58
2930000 1158 1842 92 58
2935000 1147 1853 92 58
